"Set","lf","rth","mas","mp","bll","lp","ldp","psc","qcf","cuesim","dprom","cueweighting","ndistr","Publication","Lang","Method","Measure","WM","Cue","IntType","DistrPos","DepType","VerbType","Prominence1","Prominence2","Prominence","Fit","Fit_Match","Fit_Mismatch","R"
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.1,1,1,"FranckEtAl15E1Compl","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other","other","low",27.4774,27.4774,NA,1
5,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.1,1,1,"FranckEtAl15E1RC","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other","other","low",106.6208,106.6208,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.1,1,1,"DillonEtAl13E1agrmt","EN","ET","FPRT",NA,"num","retro","obj","agreement","sing","other","other","low",7.8967,17.002,7.2924,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.1,1,1,"PearlmutterEtAl99E1","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",14.28405,38.4918,18.6444,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.1,1,1,"PearlmutterEtAl99E2","EN","ET","FPRT",NA,"num","retro","pp","agreement","sing","other","other","low",12.111,39.2164,4.6138,-1
6,0.225,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.1,1,1,"PearlmutterEtAl99E3plu","EN","SPR","RT",NA,"num","retro","pp","agreement","plural","other","other","low",15.884,15.884,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.1,1,1,"PearlmutterEtAl99E3sing","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",19.8732,39.7464,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.1,1,1,"TuckerEtAl2015","AR","SPR","RT",NA,"num","retro","obj","agreement","sing","other","other","low",17.05185,10.529,28.8392,1
4,0.175,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.1,1,1,"WagersEtAl09E4","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",28.0681,32.192,40.0402,1
4,0.175,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.1,1,1,"WagersEtAl09E5","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",22.15795,16.1406,36.2456,1
