"","Set","lf","rth","mas","mp","bll","lp","ldp","psc","qcf","cuesim","dprom","cueweighting","ndistr","Publication","Lang","Method","Measure","WM","Cue","IntType","DistrPos","DepType","VerbType","Prominence2","Fit","Fit_Match","Fit_Mismatch","R"
"76",16,0.25,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,2,1,1,"Sturt03E1","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",12.277,24.1088,0.4452,-1
"77",12,0.25,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,1.5,1,1,"FelserEtAl09inaccMism","EN","ET","RRT",NA,"ccom","pro","subj_topic","refl",NA,"subj_AND_topic",0.818,0.818,NA,1
"78",1,0.1,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,-3,1,3,"JaegerEtAl15E2","CN","ET","RRT",NA,"anim","pro","memory_3x","refl",NA,"other",7.8098,15.6196,NA,1
"79",8,0.25,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-0.5,1,1,"PatilEtAl2016","EN","ET","RRT",NA,"gend","retro","subj","refl",NA,"subj_OR_topic",5.95845,5.1488,13.5362,1
"80",24,0.25,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-0.5,1,1,"DillonEtAl13E1agrmt","EN","ET","RRT",NA,"num","retro","obj","agreement","sing","other",63.8189,22.3852,105.2526,1
"81",16,0.25,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,0.5,1,1,"VanDyke07E2LoSem","EN","ET","RRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",3.0308,3.0308,NA,1
"82",7,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-0.5,1,1,"VanDyke07E3LoSem","EN","ET","RRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",1.8526,1.8526,NA,1
"83",24,0.25,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,-0.5,1,1,"VanDykeEtAl11E2bpro","EN","ET","RRT",NA,"subj","pro","obj","nonagreement","sing","other",8.4376,8.4376,NA,1
"84",16,0.25,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-1.5,1,1,"VanDykeEtAl11E2bretro","EN","ET","RRT",NA,"subj","retro","obj","nonagreement","sing","other",0.0220000000000002,0.0220000000000002,NA,1
"85",1,0.1,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-3,1,1,"VanDyke07E3LoSyn","EN","ET","RRT",NA,"subj","retro","pp","nonagreement","sing","other",0.9153,1.8306,NA,1
"86",20,0.25,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-1,1,1,"VanDykeE2LoSyn","EN","ET","RRT",NA,"subj","retro","pp","nonagreement","sing","other",1.4086,1.4086,NA,1
"87",13,0.1,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,0.5,1,1,"VanDykeEtAl11E1bpro","EN","ET","RRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",0.0808,0.0808,NA,1
"88",16,0.25,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,0.5,1,1,"VanDykeEtAl11E1bretro","EN","ET","RRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",44.2832,44.2832,NA,1
